[03/Jan/2014:16:32:08] (admin) ///// Begin Sync sp_52c6e608f3ca4

[03/Jan/2014:16:32:09] (admin) ///// Start Listings Sync sp_52c6e608f3ca4

[03/Jan/2014:16:32:09] (admin) (Step 1) $this->connect()

[03/Jan/2014:16:32:09] (admin) (Step 2) First Time Sync

[03/Jan/2014:16:32:09] (admin) cache_get_master_properties : Cache Mode = 

[03/Jan/2014:16:32:09] (admin) cache_get_master_properties : Retrieved Master List Load From service->Search (ID=*)

[03/Jan/2014:16:32:09] (admin) Retrieved Master List Results Total:4178

[03/Jan/2014:16:32:09] (admin) Last Update Not Found Syncing All Data. Total Records: 4178

[03/Jan/2014:16:32:09] (admin) Property Not Found:1393332627/12/2013 8:31:46 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1381545928/11/2013 8:08:08 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1378178206/12/2013 12:00:12 AM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1392490319/12/2013 9:07:31 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1392490220/12/2013 8:04:20 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1392489924/12/2013 7:46:15 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1393331727/12/2013 7:37:22 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1392489723/12/2013 7:59:30 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1393331327/12/2013 8:31:36 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1383759410/11/2013 2:10:47 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1383759116/12/2013 7:56:06 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1393330427/12/2013 7:35:51 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1378176110/11/2013 3:53:23 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1391106017/12/2013 9:01:46 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1389120603/12/2013 8:13:51 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1386594805/12/2013 9:46:40 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1389120416/12/2013 7:55:10 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1389120202/12/2013 9:25:07 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1379017310/11/2013 2:43:02 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1381542905/12/2013 7:41:41 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1393329427/12/2013 8:31:44 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1393329327/12/2013 8:31:44 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1392487330/12/2013 7:47:41 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1386593905/12/2013 11:53:34 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1389119417/12/2013 7:52:05 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1389961205/12/2013 11:22:44 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1363020305/12/2013 11:53:12 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1389961005/12/2013 11:21:32 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1381541816/12/2013 8:02:25 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1392486418/12/2013 8:53:23 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1389118507/12/2013 8:04:29 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1383409205/12/2013 9:32:59 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1389117802/12/2013 7:38:43 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1393326927/12/2013 8:31:42 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1393326828/12/2013 7:32:24 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1386591527/11/2013 10:02:36 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1386591305/12/2013 11:09:44 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1386591204/12/2013 8:47:10 PM

